Week,R01.Tmax,R01.Tmin,R01.prcp,R02.Tmax,R02.Tmin,R02.prcp,R03.Tmax,R03.Tmin,R03.prcp,R04.Tmax,R04.Tmin,R04.prcp,R05.Tmax,R05.Tmin,R05.prcp,R06.Tmax,R06.Tmin,R06.prcp,R07.Tmax,R07.Tmin,R07.prcp,R08.Tmax,R08.Tmin,R08.prcp,R09.Tmax,R09.Tmin,R09.prcp,R10.Tmax,R10.Tmin,R10.prcp,USA.Tmax,USA.Tmin,USA.prcp
1999.30,28.11,16.22,2.09,30.39,16.98,1.10,31.90,18.07,3.06,32.36,20.48,1.90,30.53,18.90,3.17,33.94,20.80,0.75,34.90,21.41,1.66,28.95,12.65,2.19,29.98,14.61,0.87,27.58,10.33,0.10,31.31,17.52,1.73
1999.31,27.59,13.71,1.42,27.54,14.13,1.56,29.89,15.41,1.13,31.49,19.17,1.31,26.13,14.16,1.37,32.93,20.22,2.40,27.21,16.89,5.38,24.60,11.18,3.72,29.44,14.58,0.77,26.39,12.12,1.66,28.54,15.67,2.30
1999.32,24.27,12.83,3.27,25.29,14.19,3.83,29.06,15.64,3.54,31.59,19.76,2.65,24.72,13.82,4.41,34.75,20.93,1.08,30.02,16.67,2.75,26.35,10.69,2.14,28.46,13.30,0.60,23.16,10.48,1.40,28.69,15.49,2.41
1999.33,25.14,13.24,3.03,25.21,14.35,3.74,27.92,15.93,3.40,31.02,18.33,3.05,24.34,12.79,1.40,34.79,19.08,0.44,30.26,15.59,1.51,26.99,10.76,1.21,31.58,14.68,0.60,25.93,10.52,0.57,29.11,14.89,1.62
1999.34,25.65,13.82,2.42,25.00,14.38,4.25,26.11,15.37,5.83,29.22,18.05,4.48,25.11,14.74,3.46,33.87,19.87,1.94,30.21,15.64,1.14,28.26,11.56,1.26,33.51,16.78,0.83,28.67,11.77,0.21,29.24,15.62,2.45
1999.35,27.52,10.72,0.09,26.09,11.29,0.02,26.53,12.42,0.83,29.32,16.25,1.73,26.31,12.35,0.68,33.20,19.02,1.20,30.61,17.29,2.18,23.33,9.68,3.97,27.68,12.20,0.71,20.45,6.03,1.13,27.61,13.57,1.61
1999.36,26.48,17.69,11.34,26.11,16.96,5.83,26.37,15.90,8.70,29.72,16.66,4.14,24.58,10.71,0.98,31.94,18.11,2.71,27.05,11.89,1.87,23.03,5.87,0.39,30.90,13.61,0.24,22.94,6.08,0.25,27.22,12.86,2.62
1999.37,21.66,10.87,17.34,21.74,11.11,16.17,22.91,10.83,11.67,26.96,13.63,5.61,21.24,7.43,0.97,28.85,15.10,1.77,22.11,8.10,1.17,20.41,3.89,0.61,29.49,13.49,0.90,25.82,7.70,0.03,24.47,10.11,3.46
1999.38,19.96,8.03,3.31,18.94,7.45,3.05,21.18,7.40,2.63,24.42,11.30,3.64,20.64,5.95,0.82,28.34,12.39,0.44,23.52,7.37,0.86,20.63,4.33,1.08,28.50,13.45,0.99,24.14,7.65,0.33,23.63,8.68,1.51
1999.39,20.15,7.12,2.68,20.68,8.89,3.15,22.50,10.58,6.10,25.23,13.48,5.84,19.91,7.56,5.32,27.75,11.91,1.21,20.04,6.01,3.65,14.65,-0.89,1.23,29.67,11.55,0.01,18.09,1.85,0.14,22.05,7.81,2.97
1999.40,13.31,2.09,3.09,14.64,3.37,3.09,18.36,5.39,2.71,23.66,11.98,4.54,15.22,3.75,3.08,27.35,11.46,1.84,20.52,5.13,1.24,18.49,1.24,0.53,26.97,9.84,0.16,17.58,4.47,2.50,20.83,6.61,2.20
1999.41,16.26,2.50,3.49,17.36,4.53,3.34,19.17,6.78,3.81,23.57,14.00,5.98,18.55,5.45,1.41,28.64,12.54,0.41,23.66,7.10,0.35,18.58,1.35,0.54,28.89,10.19,0.01,16.16,2.22,0.51,22.12,7.56,1.82
1999.42,13.29,1.69,6.68,14.14,3.21,3.81,15.68,3.83,3.56,20.44,8.97,3.29,12.58,1.49,0.72,21.01,5.41,1.70,17.04,0.44,0.10,14.00,-2.98,0.57,25.92,7.20,0.01,18.87,2.06,0.17,17.71,3.20,1.57
1999.43,12.65,-0.66,1.22,13.79,1.64,0.46,15.84,1.40,0.23,20.39,4.67,0.05,16.03,2.05,0.45,24.49,7.19,1.19,21.05,2.41,0.36,16.88,-1.04,0.43,23.63,7.12,1.52,12.43,2.16,6.98,18.92,3.12,1.06
1999.44,15.66,2.69,3.83,16.06,3.66,3.44,17.72,3.19,3.69,19.68,5.90,5.00,14.95,1.49,1.32,21.49,5.42,1.69,18.17,0.54,0.22,15.58,-3.04,0.15,24.19,6.65,0.03,11.73,0.33,3.63,17.96,2.56,2.02
1999.45,8.83,-2.66,1.05,11.84,0.10,0.75,16.20,2.78,0.16,22.10,8.11,0.16,15.96,3.00,0.15,24.79,7.92,0.01,22.88,4.13,0.00,18.41,0.28,0.12,21.38,6.51,2.11,13.07,5.11,8.00,19.34,4.41,0.89
1999.46,7.11,-1.61,1.43,8.86,-0.63,0.38,12.35,-0.44,0.14,18.73,4.09,0.57,11.62,-0.47,0.58,23.82,6.33,0.15,18.65,0.92,0.09,14.64,-2.43,0.44,19.07,5.31,2.36,10.68,2.07,4.26,16.27,1.80,0.85
1999.47,14.80,4.53,4.52,15.46,6.18,5.56,16.60,7.00,6.00,19.23,9.47,3.83,10.40,1.09,1.87,18.25,3.37,1.29,11.82,-1.42,2.71,4.98,-7.28,1.51,15.17,1.06,0.32,6.26,0.02,11.37,13.13,1.74,3.13
1999.48,5.20,-3.87,0.95,5.86,-3.50,0.86,8.88,-3.04,0.33,15.50,1.29,0.16,7.33,-1.72,0.77,19.52,4.76,1.48,11.26,0.24,1.58,7.76,-4.94,0.84,15.68,2.22,1.47,7.01,-0.75,5.41,11.70,-0.33,1.26
1999.49,8.85,-0.60,4.15,10.49,0.25,2.20,12.41,-0.02,2.96,16.47,3.46,2.29,6.54,-2.45,3.51,14.87,0.22,2.26,7.73,-4.89,2.78,3.16,-10.09,0.54,12.22,-0.87,0.79,3.94,-1.80,7.23,9.87,-2.10,2.54
1999.50,4.28,-2.31,1.88,4.59,-1.92,3.37,8.19,-0.83,4.81,14.87,3.59,4.51,2.51,-4.77,2.51,13.87,-0.99,2.51,5.79,-5.73,0.69,2.97,-9.12,1.05,14.31,-0.37,0.27,5.80,-0.06,11.34,8.39,-2.52,2.97
1999.51,0.84,-9.57,2.14,1.59,-7.48,1.78,4.21,-4.39,1.23,11.12,1.63,2.45,-3.11,-12.73,0.68,10.97,-1.78,1.08,2.45,-9.19,0.30,2.12,-10.16,0.69,16.07,1.33,0.01,6.42,-1.86,0.32,5.85,-5.18,1.02
1999.52,-0.46,-11.32,0.19,1.05,-8.44,0.40,4.46,-5.34,0.26,13.06,-0.58,0.09,2.54,-7.20,0.41,17.66,0.88,0.07,11.83,-4.10,0.02,7.91,-6.84,0.20,14.93,0.35,0.14,4.17,-3.44,1.64,9.59,-3.64,0.28
2000.01,6.05,-5.25,3.88,8.58,-2.75,3.18,11.61,-0.95,2.09,16.04,3.94,2.88,3.54,-5.57,2.89,14.24,0.28,2.85,5.87,-7.17,0.99,0.62,-12.26,0.90,11.89,-1.97,0.44,3.37,-3.07,6.68,8.43,-3.51,2.42
2000.02,0.87,-7.96,3.81,2.76,-5.53,3.35,7.42,-3.31,2.40,16.01,2.77,3.84,2.22,-6.29,1.01,18.72,2.50,0.23,9.13,-4.97,0.13,4.33,-8.09,1.10,15.31,2.37,2.85,3.04,-2.56,11.61,9.55,-2.46,2.43
2000.03,-7.94,-19.86,1.20,-5.30,-16.63,0.93,0.00,-10.43,1.44,10.59,0.02,1.90,-3.31,-12.93,1.35,19.10,4.50,0.07,6.88,-6.59,0.26,5.76,-6.61,1.02,15.75,5.00,4.00,4.52,-3.00,3.64,7.14,-4.41,1.44
2000.04,-4.94,-15.46,3.00,-4.82,-14.43,2.10,-2.07,-10.93,1.91,4.95,-3.54,4.77,-4.97,-16.58,0.38,10.34,-0.62,1.97,-0.08,-10.05,0.73,0.66,-10.43,1.29,13.72,2.43,5.39,3.97,-4.16,2.33,2.86,-7.34,2.32
2000.05,-0.63,-12.90,1.84,-0.98,-11.08,2.52,1.09,-7.84,2.78,8.78,-2.19,1.57,-0.66,-9.38,0.82,11.74,-1.97,0.80,3.13,-8.94,0.14,4.35,-10.62,0.35,15.15,2.79,2.46,6.44,-1.88,5.05,5.97,-5.73,1.44
2000.06,1.00,-11.95,0.92,2.54,-10.28,0.59,6.94,-6.15,0.40,15.21,0.49,1.11,2.31,-8.98,0.50,19.20,2.95,0.15,9.25,-5.23,0.21,6.39,-6.67,1.13,16.06,4.09,3.77,7.27,-0.50,3.37,10.19,-3.08,1.11
2000.07,0.26,-11.88,6.70,1.64,-8.02,5.48,7.30,-3.28,6.53,17.60,5.15,5.09,0.67,-7.50,3.95,20.84,5.97,0.53,5.93,-5.72,2.58,2.93,-9.06,1.73,14.28,2.94,6.08,6.28,-3.32,3.61,9.45,-2.16,3.54
2000.08,5.42,-5.51,2.16,7.78,-2.00,1.16,12.72,0.17,0.35,18.32,4.66,0.45,10.68,0.89,1.83,20.36,7.11,2.86,15.41,2.34,3.04,8.59,-5.16,1.47,12.55,2.31,6.56,6.65,-1.51,4.80,13.30,1.24,2.37
2000.09,7.39,-0.95,1.82,8.51,-1.13,1.86,12.99,0.06,1.98,19.46,5.16,2.24,10.92,-1.11,0.98,20.41,5.23,1.31,13.77,-0.48,2.30,10.40,-4.40,0.55,14.53,2.43,4.03,7.67,-0.12,5.23,13.99,0.88,1.99
2000.10,9.44,-2.28,1.65,13.04,-0.29,1.40,18.80,2.61,1.01,22.42,6.98,2.12,14.84,0.56,0.84,21.07,6.96,1.45,15.26,1.28,1.49,8.34,-5.00,2.08,12.10,1.69,5.73,7.41,-1.76,2.50,15.24,1.69,2.00
2000.11,6.36,-5.67,7.36,7.61,-3.30,5.66,11.79,-1.08,4.63,17.69,4.59,3.92,6.77,-4.10,1.75,18.65,4.29,2.73,10.57,-2.28,1.43,6.86,-6.72,1.46,20.40,4.66,0.18,8.86,-1.48,4.50,12.42,-0.54,2.73
2000.12,9.95,-4.27,0.06,11.75,-0.52,1.05,12.08,1.61,5.80,19.07,7.00,5.31,11.98,3.04,2.50,20.87,7.83,3.06,12.72,2.69,3.20,9.49,-4.65,1.28,18.12,3.29,0.25,10.36,-1.78,2.80,14.53,2.37,2.79
2000.13,12.07,0.30,4.79,11.95,0.51,3.55,15.53,1.24,2.33,20.51,7.73,2.77,12.56,-0.14,0.94,22.59,9.37,2.33,15.85,0.92,1.30,10.75,-3.10,1.64,19.30,4.57,0.32,12.80,-0.80,1.06,16.19,2.73,1.87
2000.14,12.52,2.58,3.96,13.84,3.08,4.95,18.29,4.72,4.07,20.84,7.74,6.92,11.96,0.91,3.54,21.95,6.85,2.86,16.88,0.57,0.33,13.07,-3.32,0.75,24.15,6.91,0.05,15.59,0.95,1.04,17.41,3.09,2.80
2000.15,10.70,-1.88,4.58,10.15,-1.49,3.49,13.64,1.22,2.94,18.73,6.88,4.28,11.36,-0.29,0.69,21.55,8.60,2.80,18.04,1.87,0.41,14.72,-1.51,0.94,22.02,7.17,1.28,16.13,3.72,3.80,16.71,3.21,2.24
2000.16,11.52,2.59,7.66,12.80,4.71,6.43,17.22,6.94,7.24,22.43,9.55,1.56,13.31,3.77,6.08,26.06,10.66,0.30,18.23,3.13,2.27,15.90,-0.28,1.53,19.46,6.29,3.25,15.57,3.28,1.93,18.55,5.41,2.90
2000.17,9.26,0.86,5.16,12.26,2.21,1.35,14.67,3.70,1.71,20.07,7.65,3.90,17.59,3.15,0.63,26.98,11.57,1.03,20.73,5.90,1.46,17.77,1.64,1.48,24.19,7.29,0.12,13.58,0.77,2.27,19.47,5.35,1.76
2000.18,18.46,3.37,0.91,20.26,5.88,1.13,23.11,7.16,0.95,25.09,11.47,1.52,22.44,8.78,1.59,26.16,13.34,6.07,23.33,10.16,2.21,21.64,4.06,1.02,25.80,9.15,0.21,15.81,3.53,2.49,23.05,8.60,2.14
2000.19,20.54,7.99,6.58,25.12,12.73,6.87,27.92,13.19,1.45,27.98,14.76,0.69,22.47,11.59,5.17,29.42,16.40,1.36,23.73,10.76,2.51,15.82,1.65,2.67,21.95,7.89,1.26,12.60,2.09,4.62,23.11,10.19,2.70
2000.20,17.22,4.59,3.82,18.29,6.40,5.76,22.35,8.73,3.99,26.68,13.76,0.73,17.68,6.51,4.74,27.52,14.30,3.12,21.73,8.88,1.69,18.19,3.11,2.38,24.27,8.90,1.24,19.33,5.79,1.24,22.13,8.81,2.56
2000.21,16.62,8.06,4.20,17.48,9.07,4.62,20.92,11.05,5.30,27.67,16.54,4.82,21.15,9.68,2.90,31.42,17.72,1.86,26.71,12.24,5.17,22.51,6.88,1.31,30.27,13.65,0.20,19.95,7.15,1.33,25.02,12.03,2.93
2000.22,21.14,8.14,1.06,22.20,9.77,0.92,22.46,10.77,3.17,27.92,15.25,1.43,21.23,10.88,4.61,31.54,18.27,2.45,27.83,13.80,1.35,23.59,6.85,0.96,29.75,12.21,0.04,18.24,4.86,1.65,25.63,11.96,1.88
2000.23,19.94,7.93,6.71,21.07,10.14,5.70,22.79,11.52,3.20,26.74,14.39,2.41,22.95,10.94,2.31,28.66,16.35,5.36,27.68,13.19,0.68,26.97,8.91,0.51,27.56,11.71,0.62,19.50,7.40,2.24,25.57,11.97,2.52
2000.24,20.31,10.72,3.07,24.15,14.68,5.89,27.45,17.09,5.10,30.14,18.59,3.07,24.14,14.66,7.49,30.26,18.59,4.16,27.46,14.95,5.80,22.43,7.13,2.00,31.95,14.70,0.14,19.98,7.04,3.87,26.57,14.19,3.97
2000.25,24.91,12.19,1.98,24.85,13.58,3.40,26.23,15.27,5.25,29.31,18.83,4.95,24.08,14.00,5.79,30.21,19.17,4.19,27.68,14.29,6.25,24.88,8.11,1.39,30.52,14.75,0.70,23.18,7.70,0.20,27.06,14.28,3.66
2000.26,26.04,14.21,3.13,26.09,15.00,2.53,26.52,15.98,5.01,28.48,18.12,5.49,24.05,13.08,3.09,30.65,19.53,3.51,26.52,14.36,4.23,24.62,8.95,1.70,31.78,16.21,0.65,27.04,9.84,0.09,27.31,14.69,3.10
2000.27,25.38,12.46,1.44,25.29,13.05,1.35,26.34,14.35,2.17,30.22,18.59,1.80,25.46,15.39,5.01,32.59,20.03,0.87,31.68,19.61,3.81,28.85,11.96,1.21,27.93,12.73,0.29,20.63,7.49,1.01,28.46,15.50,2.00
2000.28,25.91,12.73,2.73,25.74,13.44,4.24,26.48,15.19,4.50,30.94,19.85,3.43,26.49,15.87,4.21,34.25,20.60,0.69,32.97,19.79,1.90,29.90,13.01,1.58,30.83,14.74,0.09,25.05,9.06,0.16,29.89,16.39,2.18
2000.29,23.63,12.34,7.00,23.78,13.48,4.60,24.86,14.36,3.86,30.79,18.68,2.23,23.18,12.48,1.14,35.21,20.33,1.08,27.93,16.77,5.15,27.11,10.86,2.46,32.69,15.53,0.09,27.49,11.01,0.28,28.69,15.20,2.28
2000.30,23.46,13.33,4.21,24.26,14.50,4.44,23.92,14.72,4.40,28.09,17.57,5.60,25.08,13.82,2.15,33.49,18.96,1.21,28.64,16.35,3.02,30.66,12.56,0.41,33.99,16.62,0.18,27.22,10.78,0.31,28.93,15.38,2.35
2000.31,23.77,15.16,4.56,25.73,16.90,5.86,26.62,17.48,6.30,28.68,19.13,7.19,25.17,15.12,4.13,33.41,19.22,1.26,30.06,17.29,0.85,30.77,13.39,1.00,34.87,18.26,0.39,29.97,12.75,0.10,29.68,16.66,2.90
2000.32,26.33,14.94,4.04,26.15,16.15,5.62,27.45,17.22,4.14,30.84,19.69,3.10,26.15,15.56,4.12,34.58,20.52,0.88,33.21,19.18,1.38,30.77,12.57,0.49,32.20,16.02,0.71,27.59,10.86,0.07,30.44,16.71,2.04
2000.33,22.02,12.71,4.03,22.55,13.16,4.36,24.41,13.96,2.62,30.54,17.43,1.29,24.58,13.67,3.29,34.74,19.62,0.79,31.74,18.07,1.39,28.04,11.68,1.91,32.78,15.73,0.56,24.14,7.72,0.51,28.96,15.08,1.74
2000.34,23.38,10.43,1.54,23.14,10.87,1.82,24.59,12.54,1.33,28.95,17.51,2.28,24.37,13.17,2.33,34.48,19.74,0.65,31.68,18.13,2.26,27.85,10.80,1.18,30.99,14.76,0.62,25.85,9.15,0.18,28.65,14.69,1.46
2000.35,26.33,13.67,0.84,26.44,16.66,1.37,25.94,17.35,4.89,29.32,18.96,5.27,26.49,15.96,1.64,35.86,20.18,0.42,33.78,18.63,0.36,24.99,9.87,2.18,25.85,13.55,1.90,21.15,7.17,1.41,28.50,15.61,2.12
2000.36,21.73,8.39,1.40,22.80,10.25,1.90,23.98,12.28,2.35,26.38,17.95,5.53,23.66,12.17,1.50,35.12,19.20,0.60,31.44,15.72,0.51,25.14,8.41,0.72,28.40,11.65,0.15,18.15,5.58,2.12,26.92,13.27,1.75
2000.37,22.90,10.60,4.77,23.30,12.77,5.97,24.49,13.81,3.59,27.77,16.66,1.74,22.40,10.85,6.07,32.91,18.07,2.07,30.11,12.27,0.90,26.78,7.53,0.16,32.07,14.39,0.10,24.26,9.71,1.05,27.58,12.98,2.18
2000.38,21.30,9.38,2.61,21.40,9.91,3.29,21.73,9.16,3.32,25.69,14.52,7.29,21.28,8.53,3.55,31.19,15.28,0.82,25.58,9.80,2.90,18.97,4.60,3.10,29.73,14.33,0.22,20.32,6.73,0.57,24.33,10.54,3.01
2000.39,15.72,2.62,1.53,16.39,4.41,2.74,17.97,6.97,6.08,23.97,12.45,4.02,17.85,5.16,2.22,26.36,9.66,2.32,21.47,5.85,1.95,19.02,1.69,0.88,28.27,11.40,0.10,21.64,5.37,2.13,21.79,7.08,2.30
2000.40,18.15,5.66,3.32,18.89,7.43,3.32,22.03,9.33,1.48,25.54,12.93,1.99,17.59,6.82,4.06,28.43,13.41,1.62,19.88,6.63,1.78,15.29,1.16,0.76,27.88,11.90,0.16,17.93,2.99,1.24,21.67,8.19,1.84
2000.41,14.40,1.22,1.12,14.57,2.14,0.46,15.99,1.92,0.28,19.55,3.91,0.09,16.03,2.10,0.61,18.32,6.86,2.52,17.87,1.91,0.50,15.15,-0.39,1.16,19.93,7.52,2.62,14.27,4.60,3.02,17.10,3.33,1.24
2000.42,15.11,3.98,3.69,17.17,6.35,2.82,20.20,7.11,1.80,24.36,9.18,0.19,18.55,5.97,0.92,23.91,12.08,3.55,22.65,6.93,1.75,17.67,0.30,0.29,23.17,7.98,0.79,14.59,3.47,4.84,20.65,6.65,1.70
2000.43,17.24,1.62,0.08,18.37,4.40,0.19,20.01,6.29,0.28,24.48,11.22,0.28,19.20,9.34,1.33,23.48,14.08,6.23,19.82,11.01,4.46,12.83,1.19,1.81,17.16,6.38,4.96,12.54,1.94,2.33,19.06,7.86,2.59
2000.44,9.76,0.75,2.10,12.07,-0.08,0.10,16.39,0.88,0.03,23.79,8.75,0.30,16.04,4.28,1.07,21.96,12.40,7.09,18.10,6.77,3.63,8.79,-2.01,2.72,15.52,4.04,2.83,9.87,0.99,2.00,16.44,4.81,2.60
2000.45,10.57,3.54,5.38,12.75,2.68,3.56,14.99,3.88,2.88,19.92,9.53,7.11,10.19,2.07,5.65,14.05,4.22,6.81,6.22,-2.54,3.76,0.18,-10.22,1.68,12.86,1.52,1.24,5.24,-2.54,3.21,10.57,0.93,4.43
2000.46,8.33,1.26,3.32,7.67,0.79,1.80,8.94,-0.45,0.80,13.93,2.22,2.60,3.73,-2.57,1.75,11.70,0.39,3.70,2.47,-8.63,0.90,-2.38,-14.88,0.72,11.21,-2.11,0.55,3.41,-5.95,0.42,6.71,-3.79,1.74
2000.47,1.96,-7.70,0.28,1.85,-6.95,1.03,3.20,-5.84,0.82,10.82,0.34,5.27,1.17,-7.55,0.96,13.15,1.07,5.23,5.61,-7.16,0.47,4.15,-9.89,0.14,15.26,1.03,0.27,5.47,-3.81,1.91,7.23,-4.15,2.12
2000.48,4.66,-2.73,4.06,5.20,-1.43,4.02,7.72,-0.87,2.86,13.94,1.76,1.23,3.03,-2.60,1.51,15.89,2.19,0.34,6.42,-4.45,0.21,3.70,-8.58,0.56,16.14,2.69,0.92,5.70,-1.68,4.39,8.98,-1.65,1.40
2000.49,-0.34,-11.98,0.17,-0.15,-9.85,0.58,3.16,-7.00,0.29,10.24,-1.10,0.56,-1.58,-10.42,0.49,11.48,-0.27,0.46,5.16,-6.21,0.09,4.59,-8.77,0.38,16.54,3.39,0.10,5.51,-2.33,0.46,6.50,-4.70,0.38
2000.50,1.39,-10.39,3.77,2.75,-7.84,3.53,4.79,-4.69,4.02,12.68,3.09,5.01,-3.06,-12.24,4.53,10.78,-1.13,2.40,-3.59,-14.30,2.04,-4.20,-16.02,1.56,12.40,1.55,1.77,1.30,-5.71,5.67,3.83,-6.58,3.28
2000.51,1.91,-8.37,9.92,1.83,-8.11,5.90,1.61,-8.85,5.42,6.54,-5.68,2.71,-7.19,-16.80,2.08,10.59,-4.10,0.25,-3.88,-16.07,0.59,-0.43,-14.11,0.65,15.30,0.51,0.28,3.60,-3.34,4.86,3.08,-9.01,2.15
2000.52,-4.35,-13.60,0.83,-4.58,-12.73,1.30,-2.10,-11.08,0.23,6.44,-2.96,1.90,-7.33,-16.14,1.03,6.78,-2.63,4.57,-3.63,-13.34,0.50,0.14,-12.01,0.54,15.08,0.06,0.08,5.05,-2.27,1.38,1.98,-8.07,1.50
2001.01,-1.88,-11.95,2.49,-2.34,-10.46,2.31,-0.53,-8.31,0.67,5.59,-6.35,0.18,-2.47,-11.34,0.39,8.98,-4.00,0.45,1.63,-10.71,0.16,4.68,-9.07,0.22,17.22,1.24,0.05,7.13,-1.61,1.85,4.71,-7.00,0.55
2001.02,-0.74,-12.67,0.72,1.39,-8.49,0.70,4.80,-5.81,0.53,10.24,-1.64,2.02,0.72,-8.23,0.18,11.62,0.04,2.57,7.15,-5.01,0.40,4.63,-9.18,0.50,11.04,1.09,6.57,4.55,-2.39,2.41,6.64,-4.49,1.69
2001.03,0.44,-9.70,2.03,2.40,-4.66,2.75,4.97,-2.15,4.33,13.07,3.92,6.26,-0.21,-6.14,0.75,8.30,-1.39,3.62,0.79,-8.72,0.86,-2.07,-14.20,0.82,9.68,-2.54,0.51,2.66,-5.03,1.73,4.52,-4.81,2.48
2001.04,-0.02,-13.56,0.76,0.31,-9.60,1.04,2.51,-8.52,1.20,9.61,-3.32,0.31,-1.00,-10.50,0.54,11.92,-0.87,0.56,3.83,-9.50,0.37,1.88,-11.19,0.51,11.41,-0.08,3.61,4.57,-3.34,2.01,5.46,-6.39,0.91
2001.05,1.22,-9.36,3.23,3.24,-5.30,2.61,6.47,-3.60,2.20,14.10,2.26,2.30,0.01,-8.68,2.91,12.12,0.03,2.92,1.75,-8.09,3.55,0.14,-11.43,1.14,11.97,-1.28,0.61,4.58,-3.80,3.34,6.26,-4.56,2.40
2001.06,1.90,-8.51,5.56,4.01,-5.03,3.71,9.14,-2.63,1.82,16.29,1.71,1.62,2.90,-5.94,3.78,16.62,1.99,0.93,4.53,-6.63,3.07,0.07,-12.68,1.25,13.54,0.44,1.95,3.06,-5.25,2.58,8.21,-3.89,2.21
2001.07,0.70,-12.70,1.22,2.34,-7.44,1.74,7.22,-1.36,3.44,15.74,6.34,6.64,-0.20,-8.56,1.23,13.78,3.12,5.00,-0.25,-9.17,1.02,-0.50,-13.75,0.76,10.59,-1.10,4.06,4.74,-5.12,1.60,6.31,-4.05,3.00
2001.08,0.46,-12.47,0.65,1.51,-9.76,0.90,5.45,-6.02,1.16,15.11,2.96,2.04,-0.10,-10.13,1.24,16.69,3.63,1.31,3.33,-6.81,2.93,3.59,-8.20,0.82,12.43,1.99,4.81,7.08,-1.80,1.74,7.92,-3.41,1.80
2001.09,-0.60,-11.72,2.22,2.77,-6.12,2.06,9.17,-2.15,0.83,18.17,7.24,4.47,3.55,-6.73,2.42,14.54,4.50,5.13,3.12,-7.15,2.18,2.15,-11.21,0.88,11.84,0.77,3.42,7.56,-5.10,1.76,8.50,-2.61,2.84
2001.10,1.17,-8.13,6.85,1.96,-6.02,4.91,4.93,-3.52,2.97,13.39,1.38,3.39,2.53,-6.36,0.46,16.68,3.31,2.42,7.29,-4.18,0.13,8.41,-5.38,0.67,14.51,3.86,4.59,10.80,-0.57,1.35,9.64,-1.80,2.18
2001.11,5.29,-5.08,2.86,6.05,-4.07,3.69,10.66,-0.55,3.46,18.22,6.47,6.52,6.20,-2.79,2.46,17.61,4.63,3.47,9.38,-1.81,3.35,4.72,-6.62,1.53,16.67,2.57,0.27,8.65,-1.00,2.25,11.32,-0.05,3.13
2001.12,6.93,-2.54,8.62,6.99,-2.40,4.91,9.63,-0.78,4.43,15.04,3.89,5.74,8.17,-3.69,0.21,18.60,4.36,0.87,11.60,-1.08,0.54,10.35,-3.49,0.57,22.30,6.76,0.30,13.95,0.79,2.23,13.25,0.57,2.15
2001.13,3.82,-5.95,6.82,3.82,-5.02,5.47,6.97,-3.14,4.63,14.76,3.52,4.46,4.28,-4.99,0.43,14.69,4.63,3.12,8.53,-2.69,0.71,7.54,-4.20,1.34,21.72,6.51,0.57,10.29,0.80,4.91,10.62,-0.27,2.65
2001.14,7.40,-3.01,0.82,8.89,-0.73,0.79,13.65,1.85,1.76,20.11,9.03,2.90,13.09,1.66,3.10,24.43,12.80,0.27,16.62,5.49,2.41,11.91,-0.57,2.04,15.70,3.80,2.42,8.18,-1.94,3.28,15.75,4.34,2.09
2001.15,11.00,0.84,3.48,15.25,4.13,2.88,21.42,8.89,3.26,26.92,14.78,1.79,17.88,6.69,4.52,24.77,12.34,1.13,19.90,6.18,4.20,8.73,-3.45,3.04,14.55,1.23,1.08,7.79,-2.15,3.10,18.02,5.92,2.71
2001.16,12.10,-1.99,0.45,12.83,0.51,1.00,13.91,2.00,2.56,20.04,6.73,1.22,13.23,1.85,2.91,23.63,10.49,0.83,18.01,3.56,1.51,14.42,-1.07,1.01,20.10,5.37,2.14,13.72,1.38,1.95,17.27,3.81,1.55
2001.17,19.52,2.69,0.25,20.61,4.75,0.41,21.95,6.38,0.54,23.69,9.37,1.58,19.10,5.56,2.41,24.31,9.54,1.84,22.61,6.53,2.00,16.96,0.95,2.13,23.90,7.51,0.29,17.47,4.08,1.69,21.22,6.14,1.61
2001.18,24.47,5.60,0.18,24.77,7.05,0.06,25.23,7.72,0.24,25.43,11.25,0.66,23.33,9.92,1.31,26.28,13.27,2.92,23.19,11.89,6.91,15.22,1.92,3.74,24.14,7.30,0.03,13.59,1.29,3.82,22.40,8.38,2.38
2001.19,22.94,3.50,0.22,22.62,6.47,0.88,22.78,8.43,0.70,25.10,12.91,2.09,21.62,9.19,3.49,27.19,13.84,3.19,23.36,9.88,2.97,19.82,3.17,1.08,29.94,11.39,0.06,20.62,3.50,0.12,23.75,9.08,1.88
2001.20,17.00,6.07,1.18,18.31,6.27,0.81,19.44,7.83,3.55,27.12,13.18,1.28,22.70,10.32,4.24,29.13,15.84,1.36,27.69,14.19,2.15,22.41,7.10,1.28,26.80,11.37,0.52,16.09,4.77,4.65,24.25,10.81,2.05
2001.21,19.26,7.47,3.78,19.03,10.66,5.96,20.61,10.95,9.15,25.68,13.66,5.23,17.58,8.18,5.54,27.91,12.81,2.08,19.42,7.16,3.30,20.05,2.92,0.81,31.11,13.59,0.07,25.66,7.60,0.12,23.12,9.48,3.25
2001.22,18.19,7.11,6.49,18.06,7.58,6.05,20.14,8.93,4.52,25.77,14.77,6.68,17.80,7.63,4.12,30.17,16.85,3.43,22.62,10.15,6.09,22.50,6.60,1.41,29.73,12.81,0.03,20.78,5.34,1.33,23.69,10.67,3.83
