Week,NC.Tmax,NC.Tmin,NC.prcp
2012.30,31.80,20.74,4.89
2012.31,30.21,19.14,4.96
2012.32,29.00,20.00,7.06
2012.33,28.97,17.65,2.55
2012.34,26.37,17.21,7.42
2012.35,29.01,18.34,2.38
2012.36,29.35,19.99,6.52
2012.37,25.67,12.66,1.43
2012.38,24.03,14.25,7.71
2012.39,24.93,10.81,1.14
2012.40,23.99,14.61,5.91
2012.41,18.13,7.78,2.76
2012.42,21.35,7.48,2.19
2012.43,22.95,7.72,0.26
2012.44,13.92,3.90,3.23
2012.45,13.91,1.06,0.72
2012.46,15.33,2.23,1.93
2012.47,14.98,2.09,0.60
2012.48,13.53,-2.03,0.35
2012.49,17.61,5.04,0.43
2012.50,14.74,4.14,2.22
2012.51,13.38,3.03,5.02
2012.52,10.39,0.28,8.56
2013.01,8.49,-1.00,2.11
2013.02,14.00,2.26,0.96
2013.03,15.02,5.19,11.52
2013.04,7.75,-4.25,0.78
2013.05,11.86,-0.30,4.87
2013.06,11.48,-0.84,4.25
2013.07,12.45,0.96,2.56
2013.08,8.96,-2.81,3.66
2013.09,10.49,0.74,5.12
2013.10,9.72,-1.90,1.99
2013.11,16.04,1.19,3.07
2013.12,13.42,1.21,1.55
2013.13,10.54,-0.37,3.37
2013.14,15.73,3.86,4.93
2013.15,24.24,9.48,3.92
2013.16,22.94,10.35,4.28
2013.17,18.90,5.42,0.42
2013.18,18.69,10.87,6.87
2013.19,21.18,10.42,8.06
2013.20,24.36,10.45,1.11
2013.21,25.00,14.69,7.28
2013.22,26.45,13.12,0.05
2013.23,25.86,17.52,13.52
2013.24,28.42,17.01,5.59
2013.25,27.04,16.58,3.54
2013.26,28.96,18.85,7.40
2013.27,26.80,19.30,15.87
2013.28,27.91,19.81,8.80
2013.29,29.56,19.86,3.86
2013.30,28.58,19.05,4.54
2013.31,27.54,18.32,5.09
2013.32,27.95,18.62,2.85
2013.33,26.25,17.49,5.40
2013.34,26.14,17.88,6.94
2013.35,27.56,16.35,0.56
2013.36,28.25,17.11,4.41
2013.37,28.03,16.00,0.71
2013.38,24.10,13.15,1.19
2013.39,22.22,11.73,5.59
2013.40,24.96,12.04,0.02
2013.41,21.54,12.24,6.35
2013.42,20.46,12.82,1.11
2013.43,16.32,3.93,0.36
2013.44,19.93,7.98,2.12
2013.45,15.80,3.16,0.85
2013.46,14.29,-0.96,0.52
2013.47,16.19,5.94,1.24
2013.48,8.74,-3.66,8.88
2013.49,15.92,4.96,2.38
2013.50,9.35,-1.30,4.28
2013.51,13.61,0.07,3.07
2013.52,12.22,0.90,7.66
2014.01,8.87,-1.87,5.48
2014.02,8.50,-5.14,4.90
2014.03,11.31,-1.12,3.82
2014.04,6.19,-7.07,0.30
2014.05,6.59,-7.50,1.38
2014.06,11.47,0.32,3.38
2014.07,6.47,-2.04,5.13
2014.08,15.56,2.19,3.45
2014.09,12.56,-1.34,0.14
2014.10,10.82,-1.46,7.00
2014.11,17.88,0.96,0.54
2014.12,13.02,1.90,3.82
2014.13,13.01,0.74,3.33
2014.14,22.26,6.58,1.75
2014.15,19.09,6.60,4.78
2014.16,18.59,5.93,7.27
2014.17,21.27,6.84,2.74
2014.18,22.99,11.42,4.76
2014.19,26.96,12.35,0.44
2014.20,25.74,13.37,9.71
2014.21,24.16,11.08,0.43
2014.22,26.70,14.92,2.69
2014.23,26.67,14.64,1.33
2014.24,28.07,17.29,5.74
2014.25,30.29,17.93,2.76
2014.26,28.34,18.73,4.00
2014.27,28.80,17.75,4.90
2014.28,28.95,17.69,3.71
2014.29,27.85,17.68,5.35
2014.30,27.25,18.62,6.91
2014.31,26.19,16.87,6.43
2014.32,26.68,17.71,4.94
2014.33,26.39,16.77,6.11
2014.34,29.37,18.99,3.69
2014.35,27.76,16.27,1.24
2014.36,30.22,19.62,4.18
2014.37,26.24,18.32,10.67
2014.38,24.11,15.68,2.49
2014.39,22.17,13.41,3.31
2014.40,23.84,12.92,1.47
2014.41,22.99,9.34,2.06
2014.42,21.62,11.89,8.41
2014.43,19.46,5.56,0.06
2014.44,20.81,5.94,1.42
2014.45,15.83,2.53,0.92
2014.46,14.97,1.81,0.38
2014.47,9.91,-3.68,2.64
2014.48,12.87,2.43,9.42
2014.49,14.96,4.53,0.59
2014.50,9.85,-0.24,1.57
2014.51,12.49,-0.26,0.68
2014.52,11.31,2.13,8.80
2014.53,11.02,1.77,2.83
2015.01,8.28,-4.16,2.87
2015.02,7.62,-1.99,4.70
2015.03,13.05,0.60,5.11
2015.04,8.20,-3.07,0.70
2015.05,9.88,-4.42,2.63
2015.06,11.40,-1.52,1.63
2015.07,1.04,-9.64,2.75
2015.08,6.12,-2.85,5.92
2015.09,12.11,-0.01,3.68
2015.10,17.71,5.77,1.90
2015.11,18.12,5.17,3.54
2015.12,17.15,5.72,2.51
2015.13,18.10,3.36,1.40
2015.14,22.32,9.67,3.13
2015.15,20.69,10.49,5.40
2015.16,20.68,8.91,6.50
2015.17,17.79,6.34,2.50
2015.18,25.09,10.81,0.66
2015.19,25.56,14.17,3.74
2015.20,26.31,13.83,2.06
2015.21,26.78,14.61,1.76
2015.22,25.47,15.78,5.73
2015.23,28.45,17.50,3.87
2015.24,32.19,19.78,3.54
2015.25,31.74,20.02,3.57
2015.26,27.54,17.51,5.15
2015.27,30.23,19.36,2.20
2015.28,29.28,18.99,4.22
2015.29,30.21,19.73,5.60
2015.30,30.44,18.98,1.63
2015.31,30.14,18.56,4.10
2015.32,28.44,17.17,3.29
2015.33,28.84,18.71,4.40
2015.34,27.57,16.57,2.48
2015.35,28.65,17.43,3.50
2015.36,27.34,18.31,3.62
2015.37,24.79,10.84,0.31
2015.38,23.63,15.44,7.95
2015.39,21.75,16.18,20.80
2015.40,22.04,12.23,5.95
2015.41,21.37,9.01,1.96
2015.42,19.97,3.46,0.00
2015.43,18.89,9.53,5.65
2015.44,19.43,13.24,9.54
2015.45,17.50,6.33,7.54
2015.46,17.20,4.01,7.51
2015.47,14.15,1.07,0.90
2015.48,14.40,5.06,7.25
2015.49,16.24,3.11,1.14
2015.50,17.78,5.81,3.93
2015.51,17.10,8.94,11.75
2015.52,17.88,9.68,8.64
2016.01,8.04,-1.42,0.51
2016.02,10.38,-1.80,4.47
2016.03,3.60,-4.99,5.35
2016.04,9.79,-2.23,0.52
2016.05,15.00,3.12,9.43
2016.06,5.04,-4.16,2.20
2016.07,8.79,-2.29,4.12
2016.08,13.60,3.95,6.21
2016.09,13.98,0.39,1.80
2016.10,20.53,6.74,0.11
2016.11,22.85,9.41,1.85
2016.12,17.35,4.98,1.19
2016.13,19.58,8.72,4.74
2016.14,16.70,3.31,1.64
2016.15,17.23,4.00,1.45
2016.16,23.49,8.62,2.59
2016.17,24.85,11.82,1.97
2016.18,20.85,11.23,9.40
2016.19,25.26,13.40,2.01
2016.20,19.78,10.48,4.85
2016.21,24.68,12.08,1.11
2016.22,27.53,17.26,5.72
2016.23,27.48,15.44,4.44
2016.24,29.77,17.77,2.84
2016.25,29.23,16.73,1.96
2016.26,28.79,18.26,4.91
2016.27,30.40,19.65,7.78
2016.28,30.51,19.45,4.06
2016.29,30.51,19.24,4.35
2016.30,32.29,21.22,1.94
2016.31,29.53,20.39,9.15
2016.32,29.12,20.75,5.17
2016.33,30.50,20.52,2.98
2016.34,29.54,18.10,1.48
2016.35,28.60,18.36,10.68
2016.36,29.02,16.26,0.30
2016.37,28.61,17.55,1.28
2016.38,26.83,17.69,7.10
2016.39,25.96,15.81,6.87
2016.40,23.04,14.11,6.03
2016.41,21.16,8.36,11.89
2016.42,24.61,11.60,0.39
2016.43,21.05,5.61,0.05
2016.44,23.04,8.89,0.41
2016.45,17.72,2.52,0.14
2016.46,17.63,1.85,0.95
2016.47,15.24,0.69,0.39
2016.48,15.63,3.46,3.63
2016.49,9.43,1.17,6.21
2016.50,8.34,-1.93,1.73
2016.51,12.72,0.50,1.63
2016.52,13.51,3.33,2.25
2017.01,9.51,1.82,8.05
2017.02,8.74,-1.60,0.62
2017.03,14.94,5.52,1.17
