Week,RI.Tmax,RI.Tmin,RI.prcp
2012.21,22.18,13.20,2.37
2012.22,25.27,14.92,2.92
2012.23,19.81,10.32,5.96
2012.24,22.49,12.63,2.29
2012.25,27.57,15.38,0.69
2012.26,27.08,15.15,4.06
2012.27,29.75,18.10,2.14
2012.28,29.27,16.81,0.08
2012.29,28.83,18.64,3.29
2012.30,28.23,17.47,3.43
2012.31,27.28,18.09,6.19
2012.32,28.81,19.50,6.05
2012.33,27.57,17.76,6.01
2012.34,26.63,15.17,0.88
2012.35,27.38,14.93,1.15
2012.36,25.55,17.14,6.05
2012.37,23.55,11.14,0.65
2012.38,21.76,9.74,3.58
2012.39,20.06,10.43,4.24
2012.40,20.42,12.01,2.23
2012.41,15.20,4.73,2.05
2012.42,18.68,7.69,3.86
2012.43,17.47,6.61,0.33
2012.44,14.61,8.08,5.77
2012.45,8.47,-0.74,2.18
2012.46,11.91,1.83,0.66
2012.47,10.35,-0.55,0.00
2012.48,4.46,-2.45,1.10
2012.49,10.87,-0.19,1.43
2012.50,9.09,-0.47,6.34
2012.51,7.50,1.27,7.22
2012.52,3.74,-3.69,5.93
2013.01,1.10,-8.57,2.03
2013.02,6.47,-3.62,1.06
2013.03,6.79,-0.93,2.57
2013.04,-2.02,-10.78,0.64
2013.05,4.20,-5.36,3.16
2013.06,-0.24,-7.14,6.01
2013.07,5.66,-5.44,2.44
2013.08,2.63,-6.01,2.96
2013.09,5.74,0.20,7.55
2013.10,5.34,-1.33,2.00
2013.11,7.76,-1.11,3.29
2013.12,4.44,-3.72,3.53
2013.13,10.72,-0.41,0.16
2013.14,11.11,-0.91,1.44
2013.15,15.16,4.12,3.52
2013.16,15.93,4.14,2.16
2013.17,14.40,2.82,0.32
2013.18,18.35,3.78,0.00
2013.19,20.31,9.24,2.83
2013.20,19.65,5.45,1.28
2013.21,21.50,10.88,5.80
2013.22,24.09,10.99,2.96
2013.23,22.28,12.45,19.13
2013.24,22.47,12.49,15.07
2013.25,25.70,13.03,1.33
2013.26,28.18,18.92,3.08
2013.27,28.87,21.37,1.35
2013.28,28.14,20.41,2.79
2013.29,32.62,22.18,0.43
2013.30,26.73,18.28,5.95
2013.31,27.19,16.96,2.22
2013.32,25.52,14.48,5.29
2013.33,25.01,13.48,0.26
2013.34,27.26,15.08,0.71
2013.35,25.54,16.13,5.62
2013.36,24.22,14.28,9.74
2013.37,25.07,13.90,2.06
2013.38,21.74,7.76,0.13
2013.39,20.10,8.02,1.89
2013.40,22.97,9.61,1.30
2013.41,19.45,10.48,0.93
2013.42,18.57,6.59,0.14
2013.43,14.75,2.15,0.11
2013.44,15.54,3.73,0.65
2013.45,11.55,-0.13,1.96
2013.46,10.81,-0.19,0.41
2013.47,11.13,0.37,2.51
2013.48,4.88,-4.63,11.20
2013.49,8.94,-0.11,3.23
2013.50,0.44,-7.09,1.92
2013.51,3.86,-5.72,3.93
2013.52,6.44,-2.25,2.54
2014.01,-0.45,-10.60,6.88
2014.02,3.61,-9.71,2.74
2014.03,7.66,0.11,6.41
2014.04,-1.81,-10.41,2.14
2014.05,0.76,-9.38,0.28
2014.06,2.43,-7.12,5.21
2014.07,-0.08,-9.11,6.26
2014.08,4.36,-6.52,5.30
2014.09,1.64,-9.43,0.08
2014.10,1.90,-9.09,0.08
2014.11,8.89,-2.81,2.45
2014.12,6.95,-4.52,1.97
2014.13,6.12,-4.62,1.55
2014.14,10.64,1.05,18.53
2014.15,14.97,2.57,3.34
2014.16,13.91,2.82,7.24
2014.17,14.62,3.63,1.97
2014.18,13.89,5.33,8.62
2014.19,18.12,7.67,0.36
2014.20,21.77,10.73,3.13
2014.21,20.21,9.62,1.19
2014.22,20.00,7.70,1.12
2014.23,22.95,10.46,2.86
2014.24,23.42,14.63,4.83
2014.25,25.60,13.14,0.58
2014.26,25.88,13.31,1.09
2014.27,27.58,17.36,10.80
2014.28,27.96,17.55,0.18
2014.29,25.87,18.07,4.11
2014.30,26.96,16.58,0.34
2014.31,25.53,15.93,2.11
2014.32,27.02,15.70,1.31
2014.33,25.38,14.55,5.95
2014.34,25.14,13.23,0.66
2014.35,26.66,13.48,0.00
2014.36,28.60,18.56,1.25
2014.37,23.89,13.37,0.81
2014.38,20.64,7.25,0.62
2014.39,21.99,9.96,0.80
2014.40,19.01,11.60,3.90
2014.41,18.45,6.59,1.77
2014.42,20.62,11.28,4.10
2014.43,15.04,6.48,5.05
2014.44,16.25,5.14,0.44
2014.45,12.00,3.10,3.01
2014.46,11.96,0.26,1.10
2014.47,6.85,-4.08,5.72
2014.48,9.30,0.59,8.96
2014.49,9.57,0.38,3.48
2014.50,4.02,-2.64,12.89
2014.51,5.57,-1.68,1.18
2014.52,9.29,1.50,4.67
2014.53,3.78,-5.16,0.74
2015.01,0.27,-10.83,3.81
2015.02,0.34,-8.94,1.66
2015.03,3.95,-4.30,3.00
2015.04,-1.19,-10.68,5.68
2015.05,-1.04,-14.07,3.00
2015.06,-1.94,-11.61,2.43
2015.07,-4.15,-16.32,2.26
2015.08,-0.95,-13.19,2.34
2015.09,1.36,-9.93,5.56
2015.10,7.81,-4.42,2.63
2015.11,4.75,-4.37,3.16
2015.12,5.49,-3.58,4.41
2015.13,9.48,-1.36,1.73
2015.14,9.70,0.92,2.64
2015.15,18.01,3.78,0.87
2015.16,14.48,3.09,4.29
2015.17,15.56,3.90,0.24
2015.18,23.10,7.66,0.00
2015.19,23.06,10.77,0.47
2015.20,20.62,8.85,1.66
2015.21,24.65,12.76,0.01
2015.22,18.25,8.79,7.54
2015.23,24.85,13.65,0.09
2015.24,23.40,13.65,4.27
2015.25,26.39,15.21,4.68
2015.26,24.16,14.17,8.57
2015.27,27.71,16.58,1.94
2015.28,27.06,16.63,3.26
2015.29,28.74,17.30,0.94
2015.30,28.79,18.59,3.35
2015.31,28.06,15.74,2.19
2015.32,26.25,15.61,5.33
2015.33,29.41,20.14,1.15
2015.34,27.27,16.80,0.87
2015.35,28.82,16.52,0.00
2015.36,27.93,16.60,5.93
2015.37,25.96,14.05,0.72
2015.38,23.07,10.41,0.01
2015.39,19.72,10.78,13.46
2015.40,18.34,7.87,1.05
2015.41,18.66,6.32,1.49
2015.42,15.15,3.85,0.04
2015.43,16.01,3.84,6.86
2015.44,18.42,7.69,0.28
2015.45,13.26,4.25,2.27
2015.46,12.68,1.44,4.68
2015.47,10.76,0.08,2.17
2015.48,9.56,-0.05,1.64
2015.49,12.56,2.13,0.18
2015.50,12.27,4.78,6.21
2015.51,13.85,5.36,7.91
2015.52,7.03,-0.27,3.90
2016.01,4.12,-6.88,0.04
2016.02,5.40,-4.02,9.16
2016.03,0.16,-6.63,1.94
2016.04,5.71,-5.28,1.80
2016.05,10.14,-1.15,9.84
2016.06,0.11,-9.96,2.11
2016.07,3.69,-8.59,3.05
2016.08,9.14,-1.09,4.96
2016.09,7.42,-1.95,1.09
2016.10,13.66,1.15,0.49
2016.11,12.52,3.28,5.94
2016.12,10.50,0.65,1.03
2016.13,12.98,3.31,2.69
2016.14,6.96,-2.24,11.07
2016.15,12.76,0.98,1.26
2016.16,19.65,4.99,0.75
2016.17,14.29,3.26,1.14
2016.18,12.14,6.24,5.21
2016.19,20.92,6.57,1.13
2016.20,19.73,6.84,0.18
2016.21,24.97,11.94,1.11
2016.22,24.52,14.45,4.98
2016.23,23.14,12.84,2.95
2016.24,26.05,12.12,0.61
2016.25,26.57,12.66,1.50
2016.26,26.55,15.89,2.03
2016.27,27.37,16.42,3.06
2016.28,27.46,17.31,1.92
2016.29,30.38,17.90,1.29
2016.30,31.08,18.85,1.21
2016.31,26.91,16.42,2.27
2016.32,30.11,19.25,3.82
2016.33,30.07,19.46,1.75
2016.34,28.36,16.67,2.60
2016.35,27.10,15.90,1.66
2016.36,26.26,18.29,2.19
2016.37,24.93,11.40,0.32
2016.38,25.62,14.88,4.07
2016.39,18.16,10.57,5.17
2016.40,19.99,8.79,0.33
2016.41,17.45,4.71,6.44
2016.42,22.68,10.83,5.10
2016.43,12.66,2.69,5.34
2016.44,16.27,3.72,2.23
2016.45,13.30,0.97,0.28
2016.46,14.74,3.40,3.93
2016.47,7.64,0.43,1.69
2016.48,11.49,1.72,7.49
2016.49,5.15,-2.58,1.05
2016.50,2.80,-7.20,3.32
2016.51,6.42,-4.66,2.42
2016.52,8.40,-3.57,4.63
2017.01,4.12,-3.23,5.04
2017.02,4.34,-7.03,4.47
2017.03,5.71,-2.44,1.46
